Iterations, Results, Times
-1480.000000, -129543734980300506013437520485470631751199539931232419138282701013988529616613081458741395575661353452461278268539198651500353073201317238114189547703107584.000000, 0.000000
-1470.000000, -11680951296270494604056993773207667921030491943487162758946073741097054401797574772599165908222573777608053532283131207021778706618734558861377534800429056.000000, 0.001001
-1460.000000, -1053270721325058670264905871873181317295915057023840186717109767597687642626083311378891332137780524595966035379735166273388177046141255184148055585718272.000000, 0.000000
-1450.000000, -94973361694848707819147689765712235262284636861655970436086602653486930237714937371073813060483212194870629196277174265493202599532639690835750754975744.000000, 0.001001
-1440.000000, -8563742681722978743315442879242500822879076986213977893534027760679246604944893780186843214195222857225707009949772252090757265885349944453009000890368.000000, 0.000000
-1430.000000, -772192195895932738903445472860316981398143385246667775105628866368979135066165826187258315211200019547480843226001373153982998033110616053781794652160.000000, 0.000000
-1420.000000, -69628526867719251361426436435043258157831650504599926808300832023778865520993975186378846095205552620587109006877013064150693004038859704185684754432.000000, 0.001000
-1410.000000, -6278400351021000190482014787199491588734381899357419164251692067146214350014686718784035698824842155660218768764313186814925215097791671782485262336.000000, 0.000000
-1400.000000, -566123006488242966618728733357489719596423238582141793947184031315248883502814123334842073750873361502851881864446571913684333654236119149060292608.000000, 0.000000
-1390.000000, -51047279650328101119258767946817150542906366998265304374334496338525364897729162566549217467857294963831664666758202853074893336294439621756977152.000000, 0.001001
-1380.000000, -4602930334633766274619497606629272009802855058315861722627428409293607965066650588574158775829585381516176723674735937689558930433877739804033024.000000, 0.000000
-1370.000000, -415045969356675390989556042362804184441805026702723256201810845077860296940508072096273952912283127123327955001856529141808118188526030819426304.000000, 0.000000
-1360.000000, -37424671710337428625502832334613880526576850560575999447966792282051562627867990101453605654924763155370220114713648732915178715364903981416448.000000, 0.001000
-1350.000000, -3374580542963665955205206063833018748040539153024090509880199643933579821754685565411337318368460539349261385979617820740135615153303470473216.000000, 0.000000
-1340.000000, -304285737737103964397205683968880956582514159257934819642590393062145272916906833168307935350219878770534231773417309690438340708464435658752.000000, 0.001001
-1330.000000, -27437427855521939625466765382191271253053652999846959514420614252750740325052511525982627948252844556831205607411948029127259945805962805248.000000, 0.000000
-1320.000000, -2474031326362670824653267340687305721503690356964814001863345995885163558852103944469667043364721457500438233664111615876050906093776273408.000000, 0.000000
-1310.000000, -223083265532559190852889004743172978187736255643735847839149684183926403091227883354346046348757759873638505193945256333825177163747295232.000000, 0.000000
-1300.000000, -20115405504519885370980729900735520105580209070455884074458625273830920349477333092013098572540165928426579899259345229970619602900615168.000000, 0.001002
-1290.000000, -1813804982840422721789847357360623397263270834837536810914636843021759902059458259916214361352495077435901900541855150237676838431227904.000000, 0.000000
-1280.000000, -163550693275237004850928428978584557259975326578340074062087505899639558006337624891885264175323054071796148382929608609669801050112000.000000, 0.001000
-1270.000000, -14747356812815635647165483195986562787380879156309310405331205098473136256764273773035941538262253949474744265379642380194538944724992.000000, 0.000000
-1260.000000, -1329768334265011628851940323686948654972533054916473061211550243402552479378398069609697652516363507974506326975904484944288929546240.000000, 0.000000
-1250.000000, -119905135900508163216207795769398917752456653807858587881284396164972331033122454032206847051572087312103472378765094680268613091328.000000, 0.001001
-1240.000000, -10811839359421885188787702991314525811749994468521713684579678073755589696186168327932160039159475022592590345940222020033422819328.000000, 0.000000
-1230.000000, -974902946867422907347242066954510940941706439213917402960575323292172394941159107921222552687304096008449852394416299982259748864.000000, 0.000000
-1220.000000, -87906943880232207526476674486331712118721094459677982410594603379961548458780923622182605177766786059287841664331527872776765440.000000, 0.001001
-1210.000000, -7926564184868726764571849922084185385969972429407027833739214602676135075872029158950668719628908896464003791903449331525484544.000000, 0.000000
-1200.000000, -714737846676210260358544690424467759442992040366850950633263278007099844122781490559074722484920946325817917514842339163504640.000000, 0.000000
-1190.000000, -64447871430414220029649584656359025066421148721503099866145196129539206713004891181274187881526797943070479568727213070090240.000000, 0.001001
-1180.000000, -5811260941653797758632769275520381701708662222250359343380240232410897548490199985296203725174186605460671333006340817682432.000000, 0.000000
-1170.000000, -524001072222439694036134231239217082479596099407963915637137142839608426619376837071768536067802922642723338023970132721664.000000, 0.000000
-1160.000000, -47249147206961573761021465943010070154000607971796667498469538158305108244467297343633541771376838114351024327303922450432.000000, 0.001001
-1150.000000, -4260452945862353422790751992694537747622996616592077997768611202667908275978864108532906454476400492125518269524482195456.000000, 0.000000
-1140.000000, -384164802475690195617603755685034986922364946126172816896201884958868866279912307727943804749997075690871089945997475840.000000, 0.001001
-1130.000000, -34640118629760867843057088154394991137371706884206950014200965883434464901790550042987789797462490967987491229229121536.000000, 0.000000
-1120.000000, -3123497548320652143656713708945347608079021110451714392048131784401670985202633459817955953110856769105553013986033664.000000, 0.000000
-1110.000000, -281645598233693912873121390714259548902118330418673245164407312102094236438284959397794441342918792064299751694139392.000000, 0.001001
-1100.000000, -25395967750019202665911751107041091290821923256891501485445172366406459966946801300055061510042524679861888410976256.000000, 0.000000
-1090.000000, -2289952983482693390720390060361204379337196622162872913772855091079140717837873941977261129642675091628275777142784.000000, 0.001001
-1080.000000, -206484931709575162932704994660475208190676620822896432084132218297246155814193587372095409031605869746494516494336.000000, 0.000000
-1070.000000, -18618734677366423309698173581350332847973887207738763425629856563905868224332639462194116282485422533944966905856.000000, 0.000000
-1060.000000, -1678850258544515870968367419603157341183826029560535789036081404637473864841587510171430214568628223559010877440.000000, 0.001001
-1050.000000, -151381833376749296417688382207342731129441583860150187576349863879547728258103928085498582713158174645151596544.000000, 0.000000
-1040.000000, -13650091400273764732233358044404971837709092007923257532301900392434182206622991508543175590490550215462879232.000000, 0.001001
-1030.000000, -1230827973737867414982120615963803161173444206968054772811924262182118692562482863071237186800726829193756672.000000, 0.000000
-1020.000000, -110983689157222874096850676637140642145026600324199839959284820536056496831455307728659369762069403922333696.000000, 0.000000
-1010.000000, -10007393008415920101885776689935187416447219555168035296426462575736014948760989964480805454829050868531200.000000, 0.001000
-1000.000000, -902366064647745337222221793530757057435853682183347755587255955699392509557733040440635646437196180750336.000000, 0.000000
-990.000000, -81366297290721631156490437794448019236308161625213233185599445769601715048635428350371910035913136144384.000000, 0.000000
-980.000000, -7336794449807367645372211663350169445822504377676825121029909176996902237688576355931797365349404377088.000000, 0.001001
-970.000000, -661558342840585192433972960896247249577182920190006477559879332581850032321175085774025220069529747456.000000, 0.000000
-960.000000, -59652678560930963756340952054761586432959384054988955770368466275804642561630193932079830551280746496.000000, 0.000000
-950.000000, -5378878670344612483580302776889578928710670643835937152301433121533697913179459649094221262735015936.000000, 0.001001
-940.000000, -485013187140220548242541949734971992523101914001961335256971062136041722099770770989782132907311104.000000, 0.000000
-930.000000, -43733611802186908225362945210138007705434001576606208788854340882439263475514700762309645725335552.000000, 0.000000
-920.000000, -3943457316164536420751664201332767290723939857937863064849738858341060116287178265827974695616512.000000, 0.001001
-910.000000, -355581324377008901376732164607192758574238277150309134740320714462915536805966103335416337793024.000000, 0.000000
-900.000000, -32062748017438446322060701147754889538974484836253761831978850441020423219268117086872604246016.000000, 0.000000
-890.000000, -2891096185185991370896095032624191951235003916766123175473420949128625236186479348165172527104.000000, 0.001001
-880.000000, -260689980392540402711008818346361254499800438839074965563831174711456335149360199685516558336.000000, 0.000000
-870.000000, -23506400868046912126975721485169295844452837364321590953781860892464539679121149646207975424.000000, 0.000000
-860.000000, -2119570844024382431348490924224263037219873346964526575471155298941543773831991973638045696.000000, 0.001001
-850.000000, -191121583778704223090646824082282228391070060357252240769716253701521639195569888230899712.000000, 0.000000
-840.000000, -17233422458636185839329503168509415747207770699136794647376339547842801030254955627282432.000000, 0.000000
-830.000000, -1553936733706151030181018969125464234848945965780875365705142884252237447467705972031488.000000, 0.001001
-820.000000, -140118387868525363154841510159218805779091997898321728557280370196121948263193686048768.000000, 0.000000
-810.000000, -12634467152371947480496435794369081485796744867261832823419416922467438250391572054016.000000, 0.000000
-800.000000, -1139249192433958339426156734773496379553580747162244016536369855271095264025834946560.000000, 0.001000
-790.000000, -102726035598403994412178347069034657351375992201154855104961049348179074372721442816.000000, 0.000000
-780.000000, -9262800851514576131848253493273814024042898577139989023237058954846573099365695488.000000, 0.000000
-770.000000, -835226231743651380296100209491808097248640618082062947913344615763873801216983040.000000, 0.001001
-760.000000, -75312302334410382537583470369046452998452978508722882129130403492488294057377792.000000, 0.000000
-750.000000, -6790906065137182255709379359533367195472949830214274389325371147981746677481472.000000, 0.000000
-740.000000, -612335617901383175514143540674428486585947597589411601863875775922377947348992.000000, 0.001001
-730.000000, -55214268221967273631782995826965025684739301813543488112241811786218526998528.000000, 0.000000
-720.000000, -4978667459743171992282763613774306221663647005083642718027821405145491570688.000000, 0.000000
-710.000000, -448926164792379607566412985522920597613938559847502403544346989702523387904.000000, 0.000000
-700.000000, -40479647026996076799456563714991385986114188077458883252853073248457326592.000000, 0.000000
-690.000000, -3650047495422808281378366211450889576155809251036204505040156333743013888.000000, 0.001001
-680.000000, -329124577345183938859672311527635819584511038904454168623884821774467072.000000, 0.000000
-670.000000, -29677144625784720982648573031789090257439696240212740129076722316345344.000000, 0.000000
-660.000000, -2675986461552020310502335105066693619450597464587496153953853763485696.000000, 0.000000
-650.000000, -241293548712500248990083391360962570590421642791353768377794739306496.000000, 0.000000
-640.000000, -21757425714517170528600464101755694482323381887623051581231997124608.000000, 0.001001
-630.000000, -1961865852811377665211316122183696006584248131921637367267542958080.000000, 0.000000
-620.000000, -176901333592016234660012955029485101155609759945568855783945273344.000000, 0.000000
-610.000000, -15951183299199083951173616859359893872540772520379953644144951296.000000, 0.000000
-600.000000, -1438317300826334215753957538247230265697377502846925279288360960.000000, 0.000000
-590.000000, -129692990109406184886335857623517036982513806356522462412275712.000000, 0.000000
-580.000000, -11694409622866274775363130275935127678313647142362057631858688.000000, 0.001001
-570.000000, -1054484257877162178935462999985647388777941609352936413986816.000000, 0.000000
-560.000000, -95082786217489803539503342214965032648967170303489308884992.000000, 0.000000
-550.000000, -8573609484774340000926235621032029639302736014554016251904.000000, 0.001003
-540.000000, -773081884972061090170744294325800511167888072480590397440.000000, 0.000000
-530.000000, -69708750081668270384906178728963956327665724865508278272.000000, 0.000000
-520.000000, -6285634073710185354379180178643538091985015040714473472.000000, 0.000000
-510.000000, -566775270856226042217326028869621901836840509357686784.000000, 0.000000
-500.000000, -51106094291698932523889726195005104701595366750945280.000000, 0.000000
-490.000000, -4608233647537819014466931132378445618275042386247680.000000, 0.001000
-480.000000, -415524168782919626299745593766310358612543463751680.000000, 0.000000
-470.000000, -37467790925702907093261542486271275256218457735168.000000, 0.000000
-460.000000, -3378468600187692408391923963361173303359227035648.000000, 0.000000
-450.000000, -304636323638289221746525840984780090853872893952.000000, 0.000000
-440.000000, -27469040166511166933633348132378937452325240832.000000, 0.000000
-430.000000, -2476881806666360440459657021081099318406938624.000000, 0.001001
-420.000000, -223340293181201850892633357693832169217064960.000000, 0.000000
-410.000000, -20138581673140058357769379312100508834988032.000000, 0.000000
-400.000000, -1815894776661231859060912040261657665994752.000000, 0.000000
-390.000000, -163739129866507366500579681868404240678912.000000, 0.000000
-380.000000, -14764348129650827554535539709211018526720.000000, 0.000000
-370.000000, -1331300440348270200896480399372144607232.000000, 0.000000
-360.000000, -120043285819853814627514866352378609664.000000, 0.000000
-350.000000, -10824296329878277772748732453141610496.000000, 0.001000
-340.000000, -976026191192764735089007775524585472.000000, 0.000000
-330.000000, -88008226757865188707556932213276672.000000, 0.000000
-320.000000, -7935696856247677752625594888093696.000000, 0.000000
-310.000000, -715561339140732708099448064966656.000000, 0.000000
-300.000000, -64522125699618323819636363100160.000000, 0.000000
-290.000000, -5817956444931090914352635576320.000000, 0.000000
-280.000000, -524604805376327561669557354496.000000, 0.001002
-270.000000, -47303585791487340163318677504.000000, 0.000000
-260.000000, -4265361669966842413040271360.000000, 0.000000
-250.000000, -384607421852073688595169280.000000, 0.000000
-240.000000, -34680029594031795543736320.000000, 0.000000
-230.000000, -3127096317723948888358912.000000, 0.000000
-220.000000, -281970099068356496719872.000000, 0.000000
-210.000000, -25425227972027386691584.000000, 0.000000
-200.000000, -2292591376055268278272.000000, 0.000000
-190.000000, -206722835419433304064.000000, 0.001001
-180.000000, -18640186441502121984.000000, 0.000000
-170.000000, -1680784562909958656.000000, 0.000000
-160.000000, -151556249492575616.000000, 0.000000
-150.000000, -13665818491626828.000000, 0.000000
-140.000000, -1232246084680516.000000, 0.000000
-130.000000, -111111560141152.000000, 0.000000
-120.000000, -10018923127844.000000, 0.000000
-110.000000, -903405734868.000000, 0.000000
-100.000000, -81460044296.000000, 0.001001
-90.000000, -7345247612.000000, 0.000000
-80.000000, -662320564.000000, 0.000000
-70.000000, -59721408.000000, 0.000000
-60.000000, -5385076.000000, 0.000000
-50.000000, -485572.000000, 0.000000
-40.000000, -43784.000000, 0.000000
-30.000000, -3948.000000, 0.000000
-20.000000, -356.000000, 0.000000
-10.000000, -32.000000, 0.000000
0.000000, 0.000000, 0.000000
10.000000, -8.000000, 0.001002
20.000000, 152.000000, 0.000000
30.000000, -1564.000000, 0.000000
40.000000, 8830.000000, 0.000000
50.000000, -5206.000000, 0.000000
60.000000, -551872.000000, 0.000000
70.000000, 7437108.000000, 0.000000
80.000000, -56792548.000000, 0.000000
90.000000, 208551236.000000, 0.000000
100.000000, 1293730820.000000, 0.000000
110.000000, -31154567770.000000, 0.001000
120.000000, 309027917844.000000, 0.000000
130.000000, -1785392965712.000000, 0.000000
140.000000, 1301051567368.000000, 0.000000
150.000000, 108043103732892.000000, 0.000000
160.000000, -1476010509171956.000000, 0.000000
170.000000, 11374993310669916.000000, 0.001001
180.000000, -42718379218892008.000000, 0.000000
190.000000, -246972577715899264.000000, 0.000000
200.000000, 6150401269647324160.000000, 0.000000
210.000000, -61595879185545371648.000000, 0.000000
220.000000, 360014532093982605312.000000, 0.001001
230.000000, -312498703684084170752.000000, 0.000000
240.000000, -21143375476854112649216.000000, 0.000000
250.000000, 292890339433666521858048.000000, 0.001001
260.000000, -2277862425791865177505792.000000, 0.000000
270.000000, 8741883003389299168116736.000000, 0.000000
280.000000, 47053536185361132880396288.000000, 0.001001
290.000000, -1213914896150172455309148160.000000, 0.000000
300.000000, 12275468917826809240269881344.000000, 0.000000
310.000000, -72571847677147429199440510976.000000, 0.001001
320.000000, 72846866985056362042079838208.000000, 0.000000
330.000000, 4135768671811265319370670211072.000000, 0.001001
340.000000, -58109821093551519861579771281408.000000, 0.000000
350.000000, 456059708480725301927786158489600.000000, 0.001001
360.000000, -1787333298370037422865614051999744.000000, 0.000000
370.000000, -8945314869332093966093318350700544.000000, 0.000000
380.000000, 239538015178185043810857290949459968.000000, 0.001001
390.000000, -2446004091645339304767428404191428608.000000, 0.000000
400.000000, 14624523223002562597695378354266439680.000000, 0.001001
410.000000, -16616535054539808238993872393338880000.000000, 0.000000
420.000000, -808603970179958112315606202423386832896.000000, 0.001001
430.000000, 11527163682079460381546575603903183716352.000000, 0.000000
440.000000, -91292426213673907770075101891621304664064.000000, 0.001001
450.000000, 365120986729758300551279481597013115535360.000000, 0.000000
460.000000, 1696556223196552175230374072444824550637568.000000, 0.001001
470.000000, -47256368445381356558903658298387237968019456.000000, 0.001001
480.000000, 487314201111656127273208824952998604742590464.000000, 0.000000
490.000000, -2946211517777319023473733551705363291687616512.000000, 0.001001
500.000000, 3728257051511852622492881107074838283784552448.000000, 0.000000
510.000000, 158017737386005943054361945445446982978154528768.000000, 0.001001
520.000000, -2286247918165200061457606738673693964574853693440.000000, 0.001000
530.000000, 18271219582548810352043948608154832381761938259968.000000, 0.000000
540.000000, -74527652074767378492230519982068721114575326412800.000000, 0.001001
550.000000, -320926402417211926786359202025373710366886795935744.000000, 0.000000
560.000000, 9320605577381048740911286106942243191585422853537792.000000, 0.001000
570.000000, -97071978110992260426871837317411631550206868545601536.000000, 0.001002
580.000000, 593359534661580267836795652777256387686228717727645696.000000, 0.000000
590.000000, -825739259629428862816199333956091451359121058511716352.000000, 0.001000
600.000000, -30864432430755134443347096457614258525786000623361064960.000000, 0.001001
610.000000, 453368780112454438603217240388320962972722139664874471424.000000, 0.000000
620.000000, -3656124226973794182658211418811092989153709443387582578688.000000, 0.001001
630.000000, 15200738566276522460403330081076168247370539827453621174272.000000, 0.000000
640.000000, 60532038073542793589980093606328867198521450986268335800320.000000, 0.001001
650.000000, -1837908649959868503570021256893877170850555888741441955954688.000000, 0.000000
660.000000, 19333554986754250305564895641156302786822113098632993104199680.000000, 0.001002
670.000000, -119466654184227047946597369127352557859669121701627511416291328.000000, 0.000000
680.000000, 180983892479459814893828822580658848106022745968095691932696576.000000, 0.001001
690.000000, 6025385867346376347261388408515685915334964168015855899576893440.000000, 0.000000
700.000000, -89889047249331057355920682955730219901669958435790433757148741632.000000, 0.001000
710.000000, 731468799128175132719683213707488074361985229508845391218575671296.000000, 0.000000
720.000000, -3098092847033099044533706532879927189862655698992958413684244217856.000000, 0.001001
730.000000, -11380587587762734032015577408420645936256884469764797748409400295424.000000, 0.000000
740.000000, 362324539861149180967347024783177550130038858136402406651404857901056.000000, 0.001001
750.000000, -3850017150250779010465340422112220533491770785106139937310361096552448.000000, 0.000000
760.000000, 24046567202519350713554541069834955993010932401498871653667634549882880.000000, 0.001001
770.000000, -39327469705059755785038647375900176289116877385107948307341602669461504.000000, 0.000000
780.000000, -1175646099176046023300668026164353861147475339900724753513298426551336960.000000, 0.001001
790.000000, 17819201944197773362276241160190631785425262317794367257157418877917855744.000000, 0.000000
800.000000, -146316371881681811751831055794064102774083168438836666970482095114753671168.000000, 0.001001
810.000000, 630988347772630776077566802081254370339789578061099425750769888890695188480.000000, 0.000000
820.000000, 2131935524537129286381956093562499557325519677630560202131122996504470487040.000000, 0.001001
830.000000, -71410743338268457632336437666352472581978023428767791879740508484992852033536.000000, 0.001001
840.000000, 766561104547893081092204426015814607611083898610984809917274090307229430317056.000000, 0.000000
850.000000, -4838823588507596073257012927195111359393045187746804945335585529797288635924480.000000, 0.001000
860.000000, 8484288280275866645027499392285505368335388774358053564926433101547261961175040.000000, 0.000000
870.000000, 229257718012203415963913390105017725817303581038261626947640857633901228027019264.000000, 0.001001
880.000000, -3531794485088714300347155308827240927805720562444068601076913527422875753986916352.000000, 0.000000
890.000000, 29262610103277801373395570662109716970650327787003929267007287281439723369103622144.000000, 0.001001
900.000000, -128427793341934227175380546057044801597709138043147654739907044579918360565231124480.000000, 0.001001
910.000000, -397750307451958563283453764954817929499847744118396642799855360887754215759089238016.000000, 0.000000
920.000000, 14070812669492888459803060980693252790931357247992811917428070082060894471883260428288.000000, 0.001001
930.000000, -152603362793426463633254800326177238575011009263754115184878469468970437597747086360576.000000, 0.001001
940.000000, 973440450155471790541165099174171349944193915982064587665309499244994082428964063674368.000000, 0.001001
950.000000, -1819139974272007487436615886499125370402660309888706340039380647073464465968501360689152.000000, 0.001001
960.000000, -44680364236424163429363082479882453099188742937328852521949824067848145890807379784630272.000000, 0.001001
970.000000, 699886580009340865960910233934351091283372611874292183810800530418624303581215972734795776.000000, 0.001000
980.000000, -5851361728888537230908074365456070645116972983001727383078685037386490679599271630124089344.000000, 0.000000
990.000000, 26122822114125928480259620001882771925468351954772554926677285519611343829710853374824415232.000000, 0.001001
1000.000000, 73863248855759307621804392783008500656962569247431870022672353659626675571459694887224475648.000000, 0.001001
1010.000000, -2771803107264219218784076261716348369958963377969034738934716747322175196126965513216027787264.000000, 0.000000
1020.000000, 30374886083454570006675260011815587041078060141118658590362098740077042643302181599941060722688.000000, 0.001001
